,backwardness,religion,terrorism,women_rights
backwardness,0.6956586655002832,0.6017384252333641,0.568994823578,0.6032564666599035
religion,0.6023053255689144,0.7334411395651103,0.5593790385192633,0.5847376404994726
terrorism,0.5688467021381856,0.5596888512527942,0.7092920790690184,0.5141798531037569
women_rights,0.603399853233695,0.5842511387479306,0.5140527026414872,0.7397267493486405
